"tree_ID","latitude","longitude","GUD","SRS","GUD_DOY","SRS_DOY","pheno_lag","dNDVI","NDVIseas","ratio","gup_rate","rain_sum","MAP","soil_texture","slope","elevation","curvature","admin","resid_trend"
"tree_729677",-6.67518,34.67138,87.6666666666667,147.333333333333,268.666666666667,327.333333333333,-59.6666666666667,0.0438764856156273,0.589611871147281,0.0754150775892107,180,1007.71045312541,856.407676464642,0.165652145880988,0.927409946918488,1145,6,"United Republic of Tanzania",-2.52141381578453
"tree_731221",-4.85041,31.57809,66,138,247,318,-72,0.015141814023584,0.368527310697708,0.0410873592920889,180,1184.62544083595,1159.96737838513,2.78041392119472,1.86099445819855,1069,-4,"United Republic of Tanzania",-21.3318864274725
"tree_73129",-26.87776,26.93503,76,155,257,335,-79,0.433249343368086,0.529093826149282,0.818851632651344,120,501.470886945725,564.368769347668,0.85448396519125,1.39308977127075,1299,4,"South Africa",-15.3655707899224
"tree_731557",-6.92831,36.0993,74.75,154.25,255.75,334.25,-79.5,0.082475878639954,0.593787281089966,0.137822582781659,157.5,759.76270766888,754.048816400841,-0.307464888092483,25.3081550598145,929,28,"United Republic of Tanzania",-21.0921642189451
"tree_7327",-25.37464,26.13967,109.333333333333,136.333333333333,290.333333333333,316.333333333333,-27,0.0756965438011353,0.530688536809628,0.149797888813885,143.333333333333,478.282650839115,601.881021649715,0.865184149343857,1.38320302963257,1238,-6,"South Africa",17.3187814728703
"tree_734753",-4.32071,31.19848,21,103,202,283,-82,0.180611933362366,0.575328673837459,0.313928266703064,210,1296.34146547317,1275.83904908734,-1.0914397190412,0.927409946918488,1116,-26,"United Republic of Tanzania",-63.7659783464908
"tree_736480",-7.27456,33.15025,59.3333333333333,132,240.333333333333,312,-72.6666666666667,0.139261872871865,0.511912710773746,0.276822645323217,153.333333333333,1203.08061454936,1087.21010909528,2.40773249353176,1.31677079200745,1235,-2,"United Republic of Tanzania",-25.8140141248374
"tree_737342",-7.03946,31.59648,71,140,252,320,-69,0.246283670544026,0.532383479924038,0.462605771650102,120,1203.64961433411,983.373105168519,2.15473030471445,4.1469292640686,916,6,"United Republic of Tanzania",-21.8221851551402
"tree_738597",-6.71565,32.60306,57.25,125.5,238.25,305.5,-68.25,0.158303124769761,0.508506169618967,0.319264313369067,181.25,1275.82504808689,1173.82647550945,3.07169580701254,0.933815777301788,1166,-2,"United Republic of Tanzania",-28.0009464765525
"tree_738620",-5.20325,34.11265,119.75,142.25,300.75,322.25,-22.5,0.0333836203917195,0.589187510238816,0.0577189850649778,107.5,944.21654275354,955.556021716595,1.1175347628377,2.0747447013855,1089,-2,"United Republic of Tanzania",29.8895311512239
"tree_741248",-5.51029,34.09589,107.25,140.25,288.25,320.25,-33,0.0467972958010425,0.523559987118437,0.0954844714110907,121.25,1096.34511127141,1096.54466413524,1.76183454995788,3.35104560852051,1239,-4,"United Republic of Tanzania",22.3135095681907
"tree_742203",-6.74287,33.09201,81,125,262,305,-44,0.181937187024564,0.474226555637963,0.370720183950017,165,1129.30289964241,1088.2674830191,2.45710777724386,2.08457636833191,1200,-4,"United Republic of Tanzania",-4.81175577664289
"tree_742997",-4.84483,32.66201,86,121,267,301,-35,0.0592686906874797,0.526742617496423,0.114554343153311,136.666666666667,1378.12294582526,1289.48436415556,2.47065774859143,25.9544219970703,1243,-8,"United Republic of Tanzania",3.89433668839813
"tree_743252",-5.71691,35.74278,92.25,151.75,273.25,331.75,-59.5,0.113288129082902,0.608225023409641,0.20027856895847,152.5,1003.38810182794,821.40881813482,0.998096388835663,0.927409946918488,1257,10,"United Republic of Tanzania",3.7368893214861
"tree_744235",-4.98987,30.89415,91,126,272,306,-35,0.005752089655498,0.628221545361891,0.00915614833328341,115,1138.00429088283,1113.14000558853,1.14001954830622,2.62649369239807,1066,-2,"United Republic of Tanzania",2.94166360728766
"tree_748338",-11.53664,35.46341,111,153.75,292,333.75,-42.75,0.074917151967022,0.614622616372012,0.134721781162373,146.25,1282.76643723042,1292.7781025222,0.308456580104728,6.29913711547852,613,0,"United Republic of Tanzania",16.7103979933268
"tree_74870",-24.99323,26.85552,84.3333333333333,135.666666666667,265.333333333333,315.666666666667,-51.3333333333333,0.196725737749692,0.531926619180895,0.402979798474873,175,439.685595917194,548.380825687273,0.525153497565685,4.93718957901001,1108,4,"South Africa",-10.9684889283145
"tree_748752",-6.62704,34.28934,42.6666666666667,144.333333333333,223.666666666667,324.333333333333,-101.666666666667,0.187652084888718,0.4783871391269,0.413303777522755,190,1070.49885587998,894.275406252418,1.67846818358581,2.63032865524292,1285,4,"United Republic of Tanzania",-44.2630704048716
